Timestamp,Linear X
1715243919.0764868,3.116853991866002e-05
1715243919.57647,3.116853991866002e-05
1715243920.0764675,3.116853991866002e-05
1715243920.5764794,3.116853991866002e-05
1715243921.0764859,3.116853991866002e-05
1715243921.5764675,3.116853991866002e-05
1715243922.0764878,3.116853991866002e-05
1715243922.5765038,3.116853991866002e-05
1715243923.0765152,3.116853991866002e-05
1715243923.5764647,3.116853991866002e-05
1715243924.0765028,3.116853991866002e-05
1715243924.576492,3.116853991866002e-05
1715243925.0764852,3.116853991866002e-05
1715243925.5765047,3.116853991866002e-05
1715243926.076503,3.116853991866002e-05
1715243926.5764875,3.116853991866002e-05
1715243927.07651,3.116853991866002e-05
1715243927.5764742,3.116853991866002e-05
1715243928.0765526,3.116853991866002e-05
1715243928.57647,3.116853991866002e-05
1715243929.076497,3.116853991866002e-05
1715243929.5764782,3.116853991866002e-05
1715243930.0764832,3.116853991866002e-05
1715243930.576474,3.116853991866002e-05
1715243931.0764902,3.116853991866002e-05
1715243931.5764713,3.116853991866002e-05
1715243932.0764756,3.116853991866002e-05
1715243932.5764873,3.116853991866002e-05
1715243933.076502,3.116853991866002e-05
1715243933.5764728,3.116853991866002e-05
1715243934.076471,3.116853991866002e-05
1715243934.576478,3.116853991866002e-05
1715243935.0764663,3.116853991866002e-05
1715243935.5764701,3.116853991866002e-05
1715243936.0764773,3.116853991866002e-05
1715243936.576483,3.116853991866002e-05
1715243937.076481,3.116853991866002e-05
1715243937.576472,3.116853991866002e-05
1715243938.076469,3.116853991866002e-05
1715243938.5764546,3.116853991866002e-05
1715243939.0764647,3.116853991866002e-05
1715243939.576477,3.116853991866002e-05
1715243940.0764747,3.116853991866002e-05
1715243940.5764725,3.116853991866002e-05
1715243941.0764592,3.116853991866002e-05
1715243941.5764694,3.116853991866002e-05
1715243942.076484,3.116853991866002e-05
1715243942.5764732,3.116853991866002e-05
1715243943.0764732,3.116853991866002e-05
1715243943.576507,3.116853991866002e-05
1715243944.0765142,3.116853991866002e-05
1715243944.576493,3.116853991866002e-05
1715243945.076571,3.116853991866002e-05
1715243945.5765839,3.116853991866002e-05
1715243946.0765944,3.116853991866002e-05
1715243946.576604,3.116853991866002e-05
1715243947.0765865,3.116853991866002e-05
1715243947.576592,3.116853991866002e-05
1715243948.076619,3.116853991866002e-05
1715243948.576615,3.116853991866002e-05
1715243949.0766451,3.116853991866002e-05
1715243949.5766158,3.116853991866002e-05
1715243950.0766084,3.116853991866002e-05
1715243950.5766854,3.116853991866002e-05
1715243951.0766108,3.116853991866002e-05
1715243951.5764859,3.116853991866002e-05
1715243952.0766106,3.116853991866002e-05
1715243952.5767157,3.116853991866002e-05
1715243953.076683,3.116853991866002e-05
1715243953.576643,3.116853991866002e-05
1715243954.0766337,3.116853991866002e-05
1715243954.5766506,3.116853991866002e-05
1715243955.0765746,3.116853991866002e-05
1715243955.576639,3.116853991866002e-05
1715243956.0767303,3.116853991866002e-05
1715243956.57666,3.116853991866002e-05
1715243957.0767117,3.116853991866002e-05
